iter	Passed	Remaining
0	53	53890
1	56	27962
2	56	18909
3	57	14402
4	58	11676
5	59	9870
6	63	9031
7	64	8001
8	65	7212
9	66	6574
10	67	6047
11	68	5612
12	69	5246
13	70	4939
14	71	4667
15	71	4427
16	72	4216
17	73	4022
18	74	3854
19	75	3704
20	76	3565
21	77	3462
22	78	3348
23	79	3242
24	80	3145
25	81	3058
26	82	2976
27	83	2899
28	84	2827
29	85	2762
30	86	2700
31	87	2642
32	88	2588
33	89	2556
34	90	2506
35	91	2460
36	92	2416
37	93	2375
38	94	2336
39	95	2299
40	96	2264
41	98	2241
42	99	2213
43	100	2181
44	101	2150
45	102	2123
46	103	2095
47	104	2070
48	105	2044
49	106	2020
50	107	1996
51	108	1973
52	109	1951
53	110	1930
54	111	1910
55	112	1891
56	113	1872
57	114	1854
58	115	1837
59	116	1819
60	117	1802
61	118	1786
62	119	1770
63	120	1755
64	120	1740
65	121	1726
66	122	1712
67	124	1699
68	125	1696
69	127	1698
70	128	1686
71	129	1673
72	130	1661
73	131	1649
74	133	1651
75	134	1639
76	136	1632
77	137	1621
78	138	1610
79	139	1599
80	140	1593
81	141	1583
82	142	1572
83	143	1563
84	144	1553
85	145	1543
86	146	1534
87	147	1525
88	148	1516
89	149	1507
90	150	1498
91	151	1490
92	152	1482
93	152	1474
94	153	1466
95	154	1458
96	155	1452
97	156	1444
98	157	1437
99	158	1430
100	159	1422
101	160	1416
102	161	1409
103	162	1402
104	163	1396
105	164	1390
106	165	1384
107	167	1382
108	168	1374
109	169	1368
110	170	1362
111	171	1355
112	171	1349
113	172	1344
114	173	1338
115	175	1335
116	176	1330
117	177	1324
118	178	1319
119	179	1317
120	180	1311
121	181	1304
122	182	1299
123	183	1294
124	184	1290
125	185	1285
126	186	1280
127	187	1279
128	188	1275
129	189	1270
130	190	1265
131	191	1260
132	192	1256
133	193	1251
134	194	1247
135	196	1245
136	197	1241
137	198	1236
138	199	1232
139	199	1228
140	200	1222
141	201	1218
142	202	1214
143	204	1213
144	205	1209
145	206	1205
146	207	1201
147	208	1197
148	208	1193
149	210	1190
150	210	1186
151	212	1183
152	213	1179
153	214	1176
154	215	1172
155	215	1168
156	216	1164
157	217	1161
158	218	1157
159	219	1154
160	220	1150
161	221	1147
162	222	1144
163	223	1140
164	224	1137
165	225	1134
166	226	1130
167	227	1127
168	228	1124
169	229	1120
